epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
67,6783.763039112091,,0.1759960800409317,,,0.15482304990291595,0.9050910472869873,,0.10572,0.10588,0.84054,0.99973,1.0,0.995,0.995,0.003466,3999.23193359375,4056.0,3999.23193359375,4056.0
68,6884.2083213329315,,0.1732029765844345,,,0.150725856423378,0.9023855328559875,,0.09444,0.08876,0.83868,0.99973,1.0,0.995,0.995,0.0033669999999999993,3999.23193359375,4056.0,3999.23193359375,4056.0
69,6984.6911008358,,0.17120666801929474,,,0.1450456976890564,0.905206024646759,,0.09558,0.08182,0.83773,0.99973,1.0,0.995,0.995,0.003268,3999.23193359375,4056.0,3999.23193359375,4056.0
70,7085.174597978592,,0.17455098032951355,,,0.14495106041431427,0.9076480865478516,,0.10151,0.10306,0.84704,0.99973,1.0,0.995,0.99324,0.003169000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
71,7185.794348955154,,0.16666670143604279,,,0.1418078988790512,0.8980423808097839,,0.12309,0.09964,0.8477,0.99973,1.0,0.995,0.99474,0.0030700000000000007,3999.23193359375,4056.0,3999.23193359375,4056.0
72,7286.361845254898,,0.16608768701553345,,,0.14388006925582886,0.9018450379371643,,0.11548,0.09562,0.85613,0.99973,1.0,0.995,0.99305,0.0029710000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
73,7386.886822462082,,0.16117921471595764,,,0.13961632549762726,0.9040949940681458,,0.09885,0.08487,0.84344,0.99973,1.0,0.995,0.99492,0.002872,3999.23193359375,4056.0,3999.23193359375,4056.0
74,7487.278564453125,,0.16136875748634338,,,0.13465534150600433,0.9027740359306335,,0.09411,0.0819,0.8386,1.0,1.0,0.995,0.995,0.0027730000000000007,3999.23193359375,4056.0,3999.23193359375,4056.0
75,7587.702197790146,,0.1597987860441208,,,0.13589967787265778,0.904057502746582,,0.09851,0.08955,0.84127,0.99973,1.0,0.995,0.99498,0.002674,3999.23193359375,4056.0,3999.23193359375,4056.0
76,7688.396120071411,,0.16050714254379272,,,0.1349692940711975,0.8985127210617065,,0.09919,0.08835,0.84118,0.99973,1.0,0.995,0.99497,0.002575,3999.23193359375,4056.0,3999.23193359375,4056.0
77,7788.560471773148,,0.15531523525714874,,,0.1338849663734436,0.9005451202392578,,0.10278,0.08429,0.85008,0.99973,1.0,0.995,0.99329,0.002476,3999.23193359375,4056.0,3999.23193359375,4056.0
78,7888.943142652512,,0.15500479936599731,,,0.13569319248199463,0.9000365734100342,,0.09276,0.08039,0.83941,0.99973,1.0,0.995,0.99492,0.002377,3999.23193359375,4056.0,3999.23193359375,4056.0
79,7989.442430019379,,0.1487712860107422,,,0.12842635810375214,0.8984292149543762,,0.09451,0.08189,0.83591,1.0,1.0,0.995,0.995,0.0022779999999999996,3999.23193359375,4056.0,3999.23193359375,4056.0
